name,bus,p_nom,p_nom_extendable,marginal_cost,capital_cost,p_nom_max,p_nom_min,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
SKN diesel,SaintKittsNevis,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,17.509999999999998
SKN solar pv,SaintKittsNevis,1.5,True,0.0,75772.0,350.0,1.5,0,0,0,1,0,15.156250000000002
SKN wind,SaintKittsNevis,2.2,True,0.0,116276.0,25.0,2.2,0,0,0,1,0,25.0
SKN geothermal,SaintKittsNevis,0.0,True,20.0,493350.0,30.0,10.0,0,0,0,1,0,21.67
ATG diesel,Antigua,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,62.97
ATG wind,Antigua,0.0,True,0.0,116276.0,25.0,0.0,0,0,0,1,0,25.0
ATG solar pv,Antigua,6.0,True,0.0,75772.0,370.0,9.6,0,0,0,1,0,95.94235033259423
MSR diesel,Montserrat,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,0.5900000000000001
MSR geothermal,Montserrat,0.0,True,20.0,493350.0,5.0,1.5,0,0,0,1,0,1.95
MSR solar pv,Montserrat,0.0,True,0.0,75772.0,133.0,0.25,0,0,0,1,0,0.5520504731861197
GLP diesel,Guadeloupe,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,215.89999999999998
GLP coal,Guadeloupe,0.0,True,100.0,95768.0,0.0,0.0,0,0,0,1,0,-0.0
GLP hydro,Guadeloupe,10.5,True,10.0,160468.0,15.0,10.5,0,0,0,1,0,15.0
GLP geothermal,Guadeloupe,14.7,True,20.0,493350.0,50.0,14.7,0,0,0,1,0,50.0
GLP wind,Guadeloupe,22.1,True,0.0,116276.0,150.0,22.1,0,0,0,1,0,150.0
GLP solar pv,Guadeloupe,70.0,True,0.0,75772.0,2200.0,70.0,0,0,0,1,0,287.11001642036126
GLP biomass,Guadeloupe,3.7,True,140.0,476000.0,10.0,3.7,0,0,0,1,0,3.7
DMA diesel,Dominica,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,-0.0
DMA hydro,Dominica,6.6,True,10.0,160468.0,8.0,6.6,0,0,0,1,0,6.6
DMA wind,Dominica,0.0,True,0.0,116276.0,75.0,0.0,0,0,0,1,0,-0.0
DMA solar pv,Dominica,0.0,True,0.0,75772.0,1000.0,0.0,0,0,0,1,0,-0.0
DMA geothermal,Dominica,0.0,True,20.0,493350.0,15.0,15.0,0,0,0,1,0,15.0
MTQ diesel,Martinique,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,163.70000000000002
MTQ wind,Martinique,13.0,True,0.0,116276.0,100.0,13.0,0,0,0,1,0,100.0
MTQ solar pv,Martinique,76.7,True,0.0,75772.0,1500.0,76.7,0,0,0,1,0,291.18457300275486
MTQ biomass,Martinique,41.4,True,140.0,476000.0,41.4,41.4,0,0,0,1,0,41.4
MTQ geothermal,Martinique,0.0,True,20.0,493350.0,50.0,0.0,0,0,0,1,0,50.0
LCA diesel,SaintLucia,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,35.10000000000001
LCA wind,SaintLucia,0.0,True,0.0,116276.0,50.0,0.0,0,0,0,1,0,50.0
LCA solar pv,SaintLucia,6.0,True,0.0,75772.0,800.0,6.0,0,0,0,1,0,27.456258411843873
LCA geothermal,SaintLucia,0.0,True,20.0,493350.0,30.0,0.0,0,0,0,1,0,30.0
BRB diesel,Barbados,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,172.32
BRB solar pv,Barbados,67.0,True,0.0,75772.0,570.0,67.0,0,0,0,1,0,296.68365180467094
BRB wind,Barbados,0.0,True,0.0,116276.0,38.0,0.0,0,0,0,1,0,38.0
BRB biomass,Barbados,0.0,True,140.0,476000.0,10.0,0.0,0,0,0,1,0,-0.0
SVG diesel,SaintVincentGrenadines,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,14.982397003745316
SVG solar pv,SaintVincentGrenadines,1.8,True,0.0,75772.0,460.0,1.8,0,0,0,1,0,8.967879370118206
SVG wind,SaintVincentGrenadines,0.0,True,0.0,116276.0,30.0,0.0,0,0,0,1,0,28.46441947565543
SVG geothermal,SaintVincentGrenadines,0.0,True,20.0,493350.0,15.0,0.0,0,0,0,1,0,0.9681647940074924
SVG hydro,SaintVincentGrenadines,5.6,True,10.0,160468.0,8.0,5.6,0,0,0,1,0,8.0
GRD diesel,Grenada,0.0,True,170.0,190000.0,inf,0.0,0,0,0,1,0,17.339999999999996
GRD solar pv,Grenada,2.0,True,0.0,75772.0,470.0,2.0,0,0,0,1,0,8.213166144200619
GRD wind,Grenada,0.0,True,0.0,116276.0,30.0,0.0,0,0,0,1,0,30.0
GRD geothermal,Grenada,0.0,True,20.0,493350.0,20.0,0.0,0,0,0,1,0,18.25
GRD hydro,Grenada,0.0,True,10.0,160468.0,0.0,0.0,0,0,0,1,0,-0.0
