name,bus,p_nom,p_nom_extendable,marginal_cost,capital_cost,p_nom_max,p_nom_min,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
SKN diesel,SaintKittsNevis,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
SKN solar pv,SaintKittsNevis,49.39073114,True,0.0,75772.0,350.0,1.5,0,0,0,1,0,98.87101399901155
SKN wind,SaintKittsNevis,13.89678463,True,0.0,116276.0,50.0,2.2,0,0,0,1,0,25.84701930569316
SKN geothermal,SaintKittsNevis,30.0,True,20.0,740025.0,30.0,10.0,0,0,0,1,0,15.219433485046666
ATG diesel,Antigua,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
ATG wind,Antigua,8.442253846,True,0.0,116276.0,50.0,0.0,0,0,0,1,0,50.0
ATG solar pv,Antigua,361.7987545,True,0.0,75772.0,370.0,9.6,0,0,0,1,0,260.28288451579493
MSR diesel,Montserrat,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
MSR geothermal,Montserrat,4.124024256,True,20.0,740025.0,5.0,1.5,0,0,0,1,0,1.5
MSR solar pv,Montserrat,0.25,True,0.0,75772.0,133.0,0.25,0,0,0,1,0,4.320864193063046
GLP diesel,Guadeloupe,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
GLP coal,Guadeloupe,0.0,True,100.0,95768.0,0.0,0.0,0,0,0,1,0,-0.0
GLP hydro,Guadeloupe,15.0,True,10.0,160468.0,15.0,10.5,0,0,0,1,0,15.0
GLP geothermal,Guadeloupe,50.0,True,20.0,740025.0,50.0,14.7,0,0,0,1,0,50.0
GLP wind,Guadeloupe,211.7193462,True,0.0,116276.0,300.0,22.1,0,0,0,1,0,244.72679288964827
GLP solar pv,Guadeloupe,1322.127577,True,0.0,75772.0,2200.0,70.0,0,0,0,1,0,814.3005569471154
GLP biomass,Guadeloupe,10.0,True,140.0,476000.0,10.0,3.7,0,0,0,1,0,10.0
DMA diesel,Dominica,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
DMA hydro,Dominica,8.0,True,10.0,160468.0,8.0,6.6,0,0,0,1,0,6.6
DMA wind,Dominica,30.69693488,True,0.0,116276.0,150.0,0.0,0,0,0,1,0,-0.0
DMA solar pv,Dominica,0.0,True,0.0,75772.0,1000.0,0.0,0,0,0,1,0,-0.0
DMA geothermal,Dominica,15.0,True,20.0,740025.0,15.0,15.0,0,0,0,1,0,15.0
MTQ diesel,Martinique,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
MTQ wind,Martinique,200.0,True,0.0,116276.0,200.0,13.0,0,0,0,1,0,200.0
MTQ solar pv,Martinique,734.3154326,True,0.0,75772.0,1500.0,76.7,0,0,0,1,0,659.4386698272762
MTQ biomass,Martinique,41.4,True,140.0,476000.0,41.4,41.4,0,0,0,1,0,41.4
MTQ geothermal,Martinique,50.0,True,20.0,740025.0,50.0,0.0,0,0,0,1,0,29.18062085989309
LCA diesel,SaintLucia,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
LCA wind,SaintLucia,100.0,True,0.0,116276.0,100.0,0.0,0,0,0,1,0,100.0
LCA solar pv,SaintLucia,281.5707232,True,0.0,75772.0,800.0,6.0,0,0,0,1,0,217.81808685523563
LCA geothermal,SaintLucia,30.0,True,20.0,740025.0,30.0,0.0,0,0,0,1,0,5.000066352611305
BRB diesel,Barbados,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
BRB solar pv,Barbados,570.0,True,0.0,75772.0,570.0,67.0,0,0,0,1,0,570.0
BRB wind,Barbados,75.0,True,0.0,116276.0,75.0,0.0,0,0,0,1,0,75.0
BRB biomass,Barbados,10.0,True,140.0,476000.0,10.0,0.0,0,0,0,1,0,10.0
SVG diesel,SaintVincentGrenadines,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
SVG solar pv,SaintVincentGrenadines,114.2068275,True,0.0,75772.0,460.0,1.8,0,0,0,1,0,86.61248882968414
SVG wind,SaintVincentGrenadines,60.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,60.0
SVG geothermal,SaintVincentGrenadines,15.0,True,20.0,740025.0,15.0,0.0,0,0,0,1,0,-0.0
SVG hydro,SaintVincentGrenadines,8.0,True,10.0,160468.0,8.0,5.6,0,0,0,1,0,8.0
GRD diesel,Grenada,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
GRD solar pv,Grenada,5.492504105,True,0.0,75772.0,470.0,2.0,0,0,0,1,0,91.16700201207244
GRD wind,Grenada,60.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,60.0
GRD geothermal,Grenada,20.0,True,20.0,740025.0,20.0,0.0,0,0,0,1,0,2.9218887236462234
GRD hydro,Grenada,0.0,True,10.0,160468.0,0.0,0.0,0,0,0,1,0,-0.0
