name,bus,p_nom,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,28.0437433,45.0,8.0,True,True,52145.00026,0,33.771013823917045
ATG Storage,Antigua,70.0,70.0,8.0,True,True,52145.00026,0,70.0
MSR Storage,Montserrat,0.884287598,3.0,8.0,True,True,52145.00026,0,1.1656310113852522
GLP Storage,Guadeloupe,320.0,320.0,8.0,True,True,52145.00026,0,320.0
DMA Storage,Dominica,5.0,21.0,8.0,True,True,52145.00026,0,-0.0
MTQ Storage,Martinique,240.0,240.0,8.0,True,True,52145.00026,0,240.0
LCA Storage,SaintLucia,29.60655978,75.0,8.0,True,True,52145.00026,0,75.0
BRB Storage,Barbados,190.0,190.0,8.0,True,True,52145.00026,0,190.0
SVG Storage,SaintVincentGrenadines,9.45939458,30.0,8.0,True,True,52145.00026,0,30.0
GRD Storage,Grenada,19.45260167,45.0,8.0,True,True,52145.00026,0,33.61934700264034
